"","Participant.ID","ï..Start.Date","End.Date","Time.Scheduled","Duration..in.seconds.","Finished","Location...Lat","Location...Long","Survey","Question.1","Question.2","Question.3","Question.4","Question.5","Question.6","Question.7","Question.8","Question.9","Question.10.1","Question.10.2","Question.10.3","Question.10.4","Question.10.5","Question.11","Question.12","Question.13","Question.14","Question.15","Question.16","Question.17","Question.18","Question.19","Question.20","Question.21","Question.22","Question.23.1","Question.23.2","Question.23.3","Question.23.4","Question.23.5","Question.23.6","Question.23.7","Question.24.1","Question.24.2","Question.24.3","Question.24.4","Question.24.5","Question.24.6","Question.24.7","Question.25.1","Question.25.2","Question.25.3","Question.25.4","Question.25.5","Question.25.6","Question.25.7","Question.25.8","Question.25.9","Question.26.1","Question.26.2","Question.26.3","Question.26.4","Question.26.5","Question.26.6","Question.26.7","Question.26.8","Question.26.9","Question.27","StructureForSolitudeIndividual","Surveys.completed"
"1",48509,"12/16/2020 6:55PM","12/16/2020 6:57PM","12/16/2020 6:52PM - 12/16/2020 7:22PM",120.911,"Yes",NA,NA,"Participant 5",1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,1,"2",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2.8,27
"2",48509,"12/16/2020 8:31PM","12/16/2020 8:32PM","12/16/2020 8:29PM - 12/16/2020 8:59PM",52.817,"Yes",NA,NA,"Participant 5",1,1,2,NA,"2",1,1,"1",1,0,0,0,0,1,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,1,"2",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2.8,27
"3",48509,"12/17/2020 4:15PM","12/17/2020 4:16PM","12/17/2020 4:07PM - 12/17/2020 4:37PM",64.819,"Yes",NA,NA,"Participant 5",2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,1,1,1,"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2.8,27
"4",48509,"12/17/2020 5:13PM","12/17/2020 5:15PM","12/17/2020 5:10PM - 12/17/2020 5:40PM",84.431,"Yes",NA,NA,"Participant 5",2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,1,1,2,"2",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2.8,27
"5",48509,"12/17/2020 08:32AM","12/17/2020 08:33AM","12/17/2020 08:25AM - 12/17/2020 08:55AM",82.299,"Yes",NA,NA,"Participant 5",1,1,2,NA,"2",1,1,"1",1,0,0,0,0,1,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,2,"1",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2.8,27
"6",48509,"12/17/2020 12:01PM","12/17/2020 12:02PM","12/17/2020 12:00PM - 12/17/2020 12:30PM",61.89,"Yes",NA,NA,"Participant 5",2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,3,3,3,3,2,"2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2.8,27
"7",48509,"12/15/2020 10:20AM","12/15/2020 10:22AM","12/15/2020 10:12AM - 12/15/2020 10:42AM",133.123,"Yes",NA,NA,"Participant 5",1,1,2,NA,"2",1,1,"1",1,0,0,0,1,0,"1","2",NA,NA,NA,NA,NA,NA,NA,NA,2,"2",1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,2,2.8,27
"8",48509,"12/21/2020 8:22PM","12/21/2020 8:23PM","12/21/2020 8:09PM - 12/21/2020 8:39PM",50.861,"Yes",NA,NA,"Participant 5",1,1,2,NA,"3",3,1,"1",1,0,0,0,0,1,"3","1",NA,NA,NA,NA,NA,NA,NA,NA,1,"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2.8,27
"9",48509,"12/15/2020 9:21PM","12/15/2020 9:22PM","12/15/2020 9:02PM - 12/15/2020 9:32PM",85.502,"Yes",NA,NA,"Participant 5",1,1,2,NA,"2",1,2,"1",1,0,0,0,1,0,"2","1",NA,NA,NA,NA,NA,NA,NA,NA,2,"1",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2.8,27
"10",48509,"12/16/2020 09:55AM","12/16/2020 09:56AM","12/16/2020 09:48AM - 12/16/2020 10:18AM",62.711,"Yes",NA,NA,"Participant 5",1,1,2,NA,"2",1,1,"1",1,0,0,0,0,1,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,2,"1",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2.8,27
